0,1.2%
1,47%
2,39.6%
4,"47%"""
5,4.2%
7,35%
9,15%
12,80-90%
13,40%
14,10%
15,3%
17,2%
18,1.7%
20,1.5%
21,1.4%
22,1.9 percent
23,99 percent
24,1%
33,9.3%
34,9%
40,-percent
43,8%
44,7-8%
45,0.1 percent
46,0.2 percent
47,0.4 percent
49,0.6 percent
50,14 percent
53,50%
55,20 percent
56,50 percent
57,16.0%
58,3.1%
59,5-6%
60,good percent
62,0.01 percent
71,2 percent
72,35 percent
73,2.3 percent
74,13 percent
75, percent
76,five percent
79,12.3 percent
80,1.3%
81,6.1%
82,larger percent
83,one percent
84,6.2 percent
85,21.7 percent
87,5.2 percent
88,1.8 percent
90,9 percent
91,20%
92,the percent
93,5%
97,26%
98,23.8%
99,1.25%
101,70%
102,few percent
104,5 percent
105,39.4 percent
107,39.6 percent
109,13.9 percent
110,17.5 percent
111,6.7 percent
112,28.2 percent
113,90%
114,0.3 percent
116,0.7 percent
118,7.7 percent
119,9.2 percent
124,3.5%
125,0.5 percent
126,50.7 percent
127,50.3 percent
128,52.6 percent
129,52.7 percent
130,51.5 percent
132,bigger percent
133,lower percent
134,17%
136,51 percent
137,2.5 percent
138,nine percent
139,three percent
140,5.3 percent
141,5.5%
142,15.96%
145,4%
146,7.8 percent
148,2.07%
149,6.67%
150,1.73%
151,8.88%
153,69%
156,48%
157,3.60%
158,6.24%
160,-to-four percent
163,1.8178%
164,%
165,large percent
166,13.5 percent
168,42 percent
169,90 percent
170,49 percent
171,49%
172,32%
173,24%
174,4.348%
175,2.701%
176,100%
180,2.24%
185,98 percent
186,25 percent
188,6 percent
189,3 percent
190,22 percent
191,2.8 percent
192,33.4%
193,28.3 percent
194,210%
195,0.19%
196,6.5 percent
199,-0.1 percent
201,6.5%
210,4 percent
215,26.4 percent
216,26.9 percent
217,16 percent
219,15 percent
220,80%
224,10 percent
225,1.6 percent
226,4.9 percent
228,60 percent
233,84.69%
237,2.6 percent
238,3.0 percent
241,43 percent
243,33 percent
245,215 percent
247,189 percent
249,4.3%
250,1.8%
252,2.83%
253,10.1%
257,0.9%
258,0.3%
259,0.18%
261,44 percent
264,11%
268,30%
269,0.1%
270,7.8%
271,7.7%
273,63.6%
274,14.4%
276,19%
277,13%
279,2.1%
282,7 percent
285,100 percent
287,7.1 percent
294,17 percent
295,4.5 percent
297,2.2 percent
299,65 percent
300,23 percent
301,0.52 percent
304,75 percent
305,9.4 percent
306,7.2 percent
308,8 percent
310,11 percent
312,34 percent
314,36 percent
315,7.6 percent
321,1.4 percent
323,500%
324,53%
325,0.0%
327,0.8 percent
333,21%
334,16%
336,22%
339,61.8%
340,2.8%
341,0.825%
345,1.94 percent
346,1.96%
347,20.2 percent
348,37.8 percent
351,5.1 percent
358,1.91%
364,0.2%
366,6%
371,14%
376,95%
385,2.4%
386,25%
388,2.82%
389,headline %
391,9.2%
394,- percent
396,6.0 percent
403,21 percent
409,38 percent
411,-0.1%
412,2.23%
413,3.2 percent
414,3.1 percent
416,46.3 percent
417,zero percent
418,60%
420,-14.5%
421,-6%
423,9.7 percent
424,no percent
425,-0.38%
426,3.8 percent
427,39%
428,88%
429,4.9%
438,0.27%
439,0.26%
444,15.32 percent
446,20-30%
447,12%
448,38%
452,8.2 percent
453,4.6%
454,62%
455,74 percent
457,2.4 percent
459,12.5%
460,This percent
465,1.9%
469,80 percent
471,30 percent
475,9.3 percent
476,39.1 percent
477,37.9 percent
478,53 percent
480,12 percent
483,0.46%
484,0.37%
486,7.5%
487,hundred percent
488,7.4 percent
489,six percent
490,7.0 percent
493,120%
494,13.6%
496,12.9%
497,"""40%"
505,9-10 percent
506,1 percent
511,34.8 percent
512,66 percent
513,19.2 percent
515,52 percent
518,165 percent
523,-0.4 percent
525,26.6 percent
526,-3.2 percent
529,5.9 percent
530,7%
531,1.1 percent
532,9.6 percent
535,14.5%
537,31 percent
538,19 percent
543,0.5%
545,-5.6%
547,3.7%
550,3-4%
554,23.6%
555,3.9 percent
556,27 percent
559,40 percent
560,92 percent
562,41 percent
564,55 percent
565,11.8%
566,10.7%
567,10.6%
568,6.4 percent
570,7.3 percent
571,3.5 percent
572,9.1 percent
573,6.3 percent
579,0.4%
580,0.8%
586,14.1 percent
590,6.9 percent
591,0.61 percent
599,72.7%
600,31.0%
